CC NO.,SUBJECT,DATE,PDF_NAME,TYPE
CC-288,"Stoppage of Express trains at Coimbatore North viz-12681 MAS-CBE Exp, 22665 SBC-CBE Uday Exp, 12648 NZM-CBE Exp, 22615 Tirupati-CBE Exp. ",27.12.2019,cc288_1.pdf,ST
CC-287,Stoppage of 12269/70 Hazrat Nizamuddin-Chennai Duranto Express  and 12649/50 Yeswantpur-Nizamuddin Sampark Kranti at Gwalior.,24.12.2018,cc287_1.pdf,ST
CC-286,Introduction of 13181/82 Kolkata-Silghat Express(W),24.12.2018,cc286.pdf,IN
CC-285,Extension of 12375/76 Asansol- Chennai Express upto Jasidih and Tambaram,21.12.2018,cc285_1.pdf,EX
CC-284,New train service between Tinsukhia-Naharlagun via Bogibeel bridge.,21.12.2018,cc284_1.pdf,NE
CC-283,Replacement of two coaches in life line Express,21.12.2018,cc283_1.pdf,RE
CC-282,Extension of 12805/06 Vishakhapatnam-Secunderabad Janmbhoomi Express upto Lingampalli.,14.12.2018,cc282_1.pdf,EX
2010/M(C)/137/8,Training of Officers in Electrical Systems of coaches and EMUs/MEMUs,26.06.18,8_%20Committee%20for%20studying%20time%20taken%20for%20Primary%20Maintenance%20Schedule%20of%20LHB%20coaches%20%26%20strategy%20to%20reduce%20the%20same.pdf,TR
2001/M(C)/141/1 Vol. l,Provision of automatic coach washing plant at depots,26.06.18,2_%20Provision%20of%20automatic%20coach%20washing%20plant%20at%20depots.pdf,PR
96/M(C)/141/77,Provision of quick watering arrangements at train watering stations,26.06.18,3_%20Provision%20of%20quick%20watering%20arrangements%20at%20train%20watering%20stations.pdf,PR
2007/ M(C) /137/16 Vol (xii),Transportation code for LHB Power car fitted with Under- slung power pack with Pneumatic suspension at secondary stage in FIAT Bogie,25.06.18,33_%20Cracks%20%20Breakage%20of%20solid%20forged%20wheel%20disc%20of%20FIAT%20lR%20Bogie%20(LHB).pdf,TR
97/M(C)/137/1,MLR of crash worthy coaches,25.06.18,5_%20MLR%20of%20crash%20worthy%20coaches.pdf,ML
2011/M(C)/137/4,Breakage of solid forged wheel disc of LHB coaches,25.06.18,6_%20Breakage%20of%20solid%20forged%20wheel%20disc%20of%20LHB%20coaches.pdf,BR
2002/M(C)/137/9 vol.(i),Transportation code for  EBD & Controllability trial of Air braked Narrow Gauge coaches on Kalka-Shimla NG section of Ambala division of Northern Railway  up to maximum test speed of 25 kmph ,21.06.18,7_%20Transportation%20code%20for%20%20EBD%20%26%20Controllability%20trial%20of%20Air%20braked%20Narrow%20Gauge%20coaches%20on%20Kalka-Shimla%20NG.pdf,TR
2010/M(C)/137/8,Committee for studying time taken for Primary Maintenance Schedule of LHB coaches & strategy to reduce the same,21.06.18,8_%20Committee%20for%20studying%20time%20taken%20for%20Primary%20Maintenance%20Schedule%20of%20LHB%20coaches%20%26%20strategy%20to%20reduce%20the%20same.pdf,CO
2017/M(C)/142/4,Scope of work of Model rakes being carried out at WCR,21.06.18,23_%20Redistribution%20of%20ZRs%20for%20RSP%20works%20reg_%20LHB%20FIAT%20Bogies.pdf,SC
2015/M(C)/137/1  vol. II,Use of upgraded vinyl coated upholstery fabric (rexine material) for seats and berths during refurbishment of ICF type coaches,21.06.18,10_%20Use%20of%20upgraded%20vinyl%20coated%20upholstery%20fabric%20(rexine%20material)%20for%20seats%20and%20berths%20during%20refurbishment%20of%20ICF%20type%20coaches.pdf,US
2016/M(C)/137/2,"Power Cars for Antyodaya, Tejas, Humsafar & Uday rakes",21.06.18,11_%20Power%20Cars%20for%20Antyodaya%2C%20Tejas%2C%20Humsafar%20%26%20Uday%20rakes.pdf,PO
2006/M(C)/141/25,"Kumbh Mela January- March, 2019",20.06.18,15_%20Kumbh%20Mela%20january%202019.pdf,KU
87/ M(C) /202/10 Vol (iv),Transportation code for layout drawing of 8-Wheeler Diesel Electrical Tower Car (8W-DETC) manufactured by BEML,14.06.18,46_%20Transportation%20code%20tamping%20machine.pdf,TR
